,project_name,goal,sub_category,main_category,launched,deadline,campaign_length,predicted_bert
0,The Songs of Adelaide & Abullah,1000.0,Poetry,Publishing,2015-08-11 12:12:28,2015-10-09 11:36:00,58,Music
1,Where is Hank?,45000.0,Narrative Film,Film & Video,2013-01-12 00:20:50,2013-02-26 00:20:50,45,Film & Video
2,ToshiCapital Rekordz Needs Help to Complete Album,5000.0,Music,Music,2012-03-17 03:24:11,2012-04-16 04:24:11,30,Music
3,Community Film Project: The Art of Neighborhood Filmmaking,19500.0,Film & Video,Film & Video,2015-07-04 08:35:03,2015-08-29 01:00:00,55,Film & Video
4,Monarch Espresso Bar,50000.0,Restaurants,Food,2016-02-26 13:38:27,2016-04-01 13:38:27,35,Food
5,Support Solar Roasted Coffee & Green Energy!  SolarCoffee.co,1000.0,Food,Food,2014-12-01 18:30:44,2014-12-21 18:30:44,20,Food
6,Chaser Strips. Our Strips make Shots their B*tch!,25000.0,Drinks,Food,2016-02-01 20:05:12,2016-03-17 19:05:12,44,Food
7,SPIN - Premium Retractable In-Ear Headphones with Mic,125000.0,Product Design,Design,2014-04-24 18:14:43,2014-05-29 18:14:43,35,Technology
8,STUDIO IN THE SKY - A Documentary Feature Film (Canceled),65000.0,Documentary,Film & Video,2014-07-11 21:55:48,2014-08-10 21:55:48,30,Film & Video
9,Of Jesus and Madmen,2500.0,Nonfiction,Publishing,2013-09-09 18:19:37,2013-10-09 18:19:37,30,Film & Video
10,Lisa Lim New CD!,12500.0,Indie Rock,Music,2013-03-09 06:42:58,2013-04-08 06:42:58,30,Music
11,The Cottage Market,5000.0,Crafts,Crafts,2014-09-02 17:11:50,2014-10-02 17:11:50,30,Food
12,G-Spot Place for Gamers to connect with eachother & go pro!,200000.0,Games,Games,2016-02-09 23:01:12,2016-03-25 22:01:12,44,Games
13,Survival Rings,2500.0,Design,Design,2015-01-29 02:10:53,2015-02-28 02:10:53,30,Design
14,The Beard,1500.0,Comic Books,Comics,2014-10-09 22:27:52,2014-11-08 22:27:52,30,Film & Video
15,Notes From London: Above & Below,3000.0,Art Books,Publishing,2015-04-10 21:20:54,2015-05-10 21:20:54,30,Publishing
16,Mike Corey's Darkness & Light Album,250.0,Music,Music,2012-08-02 14:11:32,2012-08-17 14:11:32,15,Music
17,Boco Tea,5000.0,Food,Food,2012-05-03 17:24:32,2012-06-02 17:24:32,30,Food
18,CMUK. Shoes: Take on Life Feet First.,20000.0,Fashion,Fashion,2013-11-25 07:06:11,2013-12-30 07:06:11,35,Fashion
19,Alice in Wonderland in G Minor,3500.0,Theater,Theater,2014-05-16 10:10:38,2014-06-15 10:09:03,29,Theater
20,Mountain brew: A quest for alcohol sustainability,500.0,Drinks,Food,2015-01-26 19:17:33,2015-02-25 19:17:33,30,Food
21,The Book Zoo - A Mini-Comic,175.0,Comics,Comics,2014-10-23 17:15:50,2014-11-12 17:15:50,20,Comics
22,Matt Cavenaugh & Jenny Powers make their 1st album! ,10000.0,Music,Music,2010-12-07 23:16:50,2011-01-06 23:16:50,30,Music
23,Superhero Teddy Bear,12000.0,DIY,Crafts,2015-12-06 20:09:06,2016-01-05 20:09:06,30,Comics
24,Permaculture Skills,17757.0,Webseries,Film & Video,2014-11-14 18:02:00,2014-12-14 18:02:00,30,Food
25,Rebel Army Origins: The Heroic Story Of Major Gripes,100.0,Comics,Comics,2015-12-29 16:59:29,2016-01-28 16:59:29,30,Film & Video
26,Daily Brew Coffee,3500.0,Food Trucks,Food,2015-03-01 18:06:32,2015-03-31 18:06:32,30,Food
27,Ledr workbook: one tough journal!,1000.0,Product Design,Design,2016-09-07 13:14:26,2016-10-08 02:00:00,30,Publishing
28,Feather Cast Furled Fly Fishing Leaders,2000.0,Product Design,Design,2015-07-23 03:09:43,2015-08-22 03:09:43,30,Design
29,BB130A,25000.0,Public Art,Art,2013-02-12 01:07:28,2013-03-24 00:07:28,39,Film & Video
30,Chris Eger Band - New Nashville Record!,12000.0,Music,Music,2014-07-14 22:35:51,2014-08-13 08:59:00,29,Music
31,Squatch Watchers,10000.0,Webseries,Film & Video,2013-07-24 21:40:13,2013-08-23 21:40:13,30,Fashion
32,Arrows & Sound Debut Album,4000.0,Indie Rock,Music,2012-04-19 01:04:31,2012-05-19 01:04:31,30,Music
33,Zen in America: a film on Zen Buddhism in North America,10000.0,Documentary,Film & Video,2013-09-21 23:00:54,2013-10-21 23:00:54,30,Film & Video
34,Galaxy: Winnie and Friends,3000.0,Illustration,Art,2015-12-23 21:47:29,2016-01-27 21:47:29,35,Games
35,Help Scott Reynolds Make a New Record!,15000.0,Indie Rock,Music,2012-08-03 18:43:16,2012-09-02 18:43:16,30,Music
36,"""THE RETURN"" book project",15000.0,Photography,Photography,2013-11-13 00:34:20,2013-12-13 00:34:20,30,Publishing
37,"The Please, Please Me: Studio Premiere",10000.0,Pop,Music,2012-07-15 03:27:33,2012-09-01 23:36:00,48,Music
38,WE ARE ONE: STREET MUSIC OF NEW ORLEANS,2500.0,Documentary,Film & Video,2013-08-27 20:17:27,2013-10-01 06:00:00,34,Film & Video
39,Hot Chicken Takes Over.,40000.0,Restaurants,Food,2014-09-16 02:31:08,2014-10-16 05:59:00,30,Food
40,Star and the Snowman,8000.0,Narrative Film,Film & Video,2013-01-24 06:04:05,2013-02-23 06:04:05,30,Publishing
41,Seas of Iron,3000.0,Tabletop Games,Games,2013-06-19 03:16:33,2013-07-19 03:16:33,30,Games
42,(In)visible Empire Tees,1200.0,Public Art,Art,2015-11-22 22:47:44,2016-01-02 00:00:00,40,Fashion
43,I'LL SEE YOU IN MY DREAMS - narrative feature film,60000.0,Narrative Film,Film & Video,2014-01-11 00:57:14,2014-02-05 00:57:14,25,Film & Video
44,SkateFrames-Photo frame made from recycled skateboard wood,7500.0,Art,Art,2015-04-08 02:53:18,2015-05-08 02:53:18,30,Design
45,A Teacher's Travels in China,4000.0,Photography,Photography,2012-04-18 23:34:56,2012-05-13 23:34:56,25,Publishing
46,Mothers Into Living Fit Yoga DVD for Moms and Babies,11000.0,Family,Film & Video,2014-05-20 17:18:29,2014-06-19 17:18:29,30,Film & Video
47,Mobile barbecue & catering trailer,13750.0,Food Trucks,Food,2014-09-24 03:35:33,2014-10-23 20:29:00,29,Food
48,Following the Call - A Novel,13500.0,Fiction,Publishing,2016-01-02 08:06:07,2016-02-01 08:06:07,30,Publishing
49,UNDERWATER,9500.0,Film & Video,Film & Video,2012-02-13 19:00:37,2012-03-26 06:00:00,41,Film & Video
50,The Fanalyzers: Views from the Stands,60000.0,Webseries,Film & Video,2013-09-18 20:20:00,2013-10-18 20:20:00,30,Film & Video
51,Empires at Sea,25000.0,Tabletop Games,Games,2015-05-24 12:47:52,2015-06-23 12:47:52,30,Games
52,Teachers In The Sky,250000.0,Documentary,Film & Video,2016-04-19 23:53:22,2016-06-18 07:00:00,59,Film & Video
53,Fashion removeable decoration jewel accessory hells shoes,12000.0,Accessories,Fashion,2016-09-13 11:59:57,2016-10-13 11:59:57,30,Fashion
54,TO RUSSIA WITH LOVE AND SIMON,5000.0,Art,Art,2016-05-23 18:10:04,2016-06-22 18:10:04,30,Film & Video
55,HIIT Bottle,15000.0,Drinks,Food,2015-03-13 18:33:08,2015-04-27 19:33:08,45,Design
